"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","784.540725292672","777.737731190958","786.640016460831","782.939426555577","781.024444795726","779.126638474109","769.597518492316","773.676288099582","770.167640123209","778.240175663613","796.364625494625","809.30556841219","801.66256558281","819.899846976403","807.11926236512","812.500573305279","814.733266784633","819.32587379419","786.170077125571","688.609464145615","687.108452143477","657.812077373449","662.239970942421","673.572800308837","687.095876786217","686.660346320867","684.79426697127","672.862342109191","663.989956232389","632.698248798707","618.831952275004","602.124818572355","625.458658680637","639.47408880147","623.667268240424","627.567678278063","637.375567210962","655.822831600716","657.083577154326","625.014804880129","632.967747456754","608.84743765174","611.13690047424","619.213257248707","607.144577203608","605.778276109686","596.300319411783","583.76303920458","586.441491211765","563.976200963133","570.998887587248","565.488908602848","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","506.537232289119","510.854290954091","521.994980945812","524.889260763857","527.592140965472","534.616357505792","546.083006552599","553.404063863468","554.546643839601","559.916494842725","565.427530751686","572.627890109103","565.501607761467","554.782644072371","557.702104729532","551.889999878402","555.49231592586","553.170911303444","556.342350652481","296.775482232088","304.427307369884","310.237100209838","307.131547892858","286.064396202547","282.983299671014","292.272238277625","299.030990047223","294.267060718761","298.153215833718","285.657322343808","289.237182398885","292.177320461456","296.980066862543","302.295886835961","312.334701917274","302.907262026617","300.302468319768","306.79657435129","295.423285524058","336.412979107051","359.064392844876","353.413958029407","356.913661271614","354.759851343277","336.978667905031","343.896337502189","332.429748033803","325.467827141414","341.666132517863","336.566406948633","350.102510019168","351.913061564233","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","642.744523461627","671.435549706183","646.578992844674","638.078757764388","602.21334463061","575.653345515773","548.673657173459","582.963319023738","570.678714095346","560.99444397453","544.497509189321","517.699523564019","512.686415905435","499.130217251011","510.29254166019","497.826509327429","492.441696201263","495.290016628778","489.330574498766","506.098906826107","501.1013958861","487.66526325083","489.171805015051","480.041934528091","460.744687477655","455.930060729858","448.250287767476","429.96411434091","434.376831763019","428.222669261961","428.599480858479","429.424207435976","446.134132051678","433.557080102511","392.557802386847","422.909458684002","446.790005661844","472.064397001416","504.92416679274","487.281074343005","486.235365702241","531.24332255994","512.021802587495","447.160325436651","517.525209417242","462.934994006148","456.692217487614","405.179753107747","416.996507156148","397.633186643914","418.358996013843","423.122517600564","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","785.161525934329","865.59248120703","762.725361728214","776.934748974948","826.952081040206","890.953359858712","923.728867504315","1010.81922139014","864.199459705589","1149.53609603604","989.200148492914","966.683283781289","1000.12201296783","1018.26314225619","916.555190602146","963.927169506077","921.893044018284","927.744518727469","896.437762376845","813.373801291643","572.755207711702","418.273208912166","412.351824377392","441.348009597146","417.034611074232","447.838930515247","384.584954066613","426.818906731072","576.974269147942","581.374748988005","598.228317118281","661.11795163205","649.35788110735","716.623145884767","721.077407396492","707.890606549635","680.948166186712","712.287869024953","734.057809949862","731.053397459356","766.894617514824","689.872750149797","803.709464277971","810.872883939509","762.287986301806","786.071045181397","824.373550389848","823.101982045081","817.176548362341","761.957268109783","810.006337207976","780.738623945557","","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","428.881368159016","432.714136250003","462.515365755054","478.386042271642","501.481942176615","540.723338981326","576.213821154117","640.779534185986","741.170979354822","804.038217594043","894.771992740568","965.469331587845","1008.86420139227","1001.18169532512","1026.49732020638","1042.29937666032","1095.22560477171","1155.9108530988","1181.77360301109","1094.35563243269","1109.04967832798","1192.61675734798","1235.3634066293","1273.84542334201","1271.58909644845","1286.53645365679","1307.37384721608","1302.73576547054","1284.79313244267","1309.71627148077","1388.53158803884","1427.25898983203","1413.04793013301","1434.74765584441","1502.73958252596","1543.29353412303","1573.16225124085","1648.73035175674","1689.6505235713","1751.63748644266","1756.09749497428","1794.497917667","1772.87001532426","1834.69438138506","1837.73870796454","1837.82325274154","1845.21864394839","1813.67326733384","1794.73854105315","1677.18428545402","1743.19074449394","1779.76962058116","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","3020.53267348602","2730.0513747552","2990.23141666227","2742.24831165007","3568.88567133826","3995.76693631407","5783.32012126008","5894.54375156004","6106.5722963564","7120.29339371862","8065.63501552477","8287.98151529961","7540.05528998911","9247.69830841748","9955.21481430949","10620.4467408986","10989.3955447821","10551.1217822936","11446.0935575084","10740.8429217188","11690.0970198374","10562.8994380617","10572.6698308454","11178.3984813089","11360.9014709113","11250.1691193254","10941.7465226956","10375.285992572","9839.14403490257","8956.94929901911","11703.2751045514","10866.2518811768","10102.2168560285","9441.12715739602","9535.23423153349","9239.48012400956","8929.91291284475","9426.22252523971","9485.64696621464","8944.43348137498","8558.24529408267","8614.16881429917","8858.22242582428","9633.42212114175","10146.376786057","10355.5476088804","8521.13677246594","8482.30317231137","8816.50943614681","8154.35294132635","8674.22641438132","8335.80957162683","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","1387.13973182734","1387.58021724106","1420.92984489942","1425.86660071573","1388.82281038723","1415.16020507047","1429.97160678838","1434.57567953128","1490.79290265352","1492.62466158658","1434.4305372278","1419.95474249265","1422.99338458019","1450.62261300261","1363.01308383538","1423.63528731357","1478.68186521424","1505.52863621037","1441.15230206438","1351.48277612519","1385.38307033103","1407.27675440761","1432.607502841","1530.52760849222","1507.19847475089","1534.09177637667","1567.39444751302","1648.11263598533","1666.81862190168","1643.32131961789","1518.4581858385","1484.25701881625","1588.98177724668","1740.90890259945","1712.4320350003","1784.01669776279","1845.91422802344","1889.40923801554","1722.74402909882","1826.05112368849","1865.25736115683","1897.60983922809","1928.54922885127","1911.61727736839","1919.75859208058","1889.87018853289","1874.82963739464","1806.77623499039","1777.41507710553","1624.17555252173","1741.65240212881","1808.99849167635","","",
